days,current,gold,I3source,I3target,Isource,Itarget,pHsource,pHtarget
0.8229166666666665,5.2,,,,,,,
1.09375,6.6,,,,,,,12.2
3.892361111111111,6.8,,,,,,,12.7
4.96875,7.4,0.0,12.836841037120832,0.0,36.49247598174421,1.9220699924600615,1.4,12.1
6.885416666666665,9.0,,,,,,1.9,12.5
8.100694444444445,10.1,,,,,,2.0,12.3
11.017361111111109,11.3,,,,,,1.7,12.8
12.059027777777777,12.3,,,,,,2.2,12.3
13.829861111111112,13.7,0.0,9.09024509623524,0.0,31.706881640889986,6.32068726099568,2.1,12.5
13.829861111111112,13.7,0.0,9.09024509623524,0.0,31.706881640889986,6.32068726099568,2.1,6.2
13.829861111111112,13.7,0.0,9.09024509623524,0.0,31.706881640889986,6.32068726099568,2.8,12.5
13.829861111111112,13.7,0.0,9.09024509623524,0.0,31.706881640889986,6.32068726099568,2.8,6.2
13.829861111111112,13.7,0.0,9.09024509623524,0.0,31.706881640889986,0.0,2.1,12.5
13.829861111111112,13.7,0.0,9.09024509623524,0.0,31.706881640889986,0.0,2.1,6.2
13.829861111111112,13.7,0.0,9.09024509623524,0.0,31.706881640889986,0.0,2.8,12.5
13.829861111111112,13.7,0.0,9.09024509623524,0.0,31.706881640889986,0.0,2.8,6.2
13.829861111111112,13.7,0.0,9.09024509623524,0.0,45.0,6.32068726099568,2.1,12.5
13.829861111111112,13.7,0.0,9.09024509623524,0.0,45.0,6.32068726099568,2.1,6.2
13.829861111111112,13.7,0.0,9.09024509623524,0.0,45.0,6.32068726099568,2.8,12.5
13.829861111111112,13.7,0.0,9.09024509623524,0.0,45.0,6.32068726099568,2.8,6.2
13.829861111111112,13.7,0.0,9.09024509623524,0.0,45.0,0.0,2.1,12.5
13.829861111111112,13.7,0.0,9.09024509623524,0.0,45.0,0.0,2.1,6.2
13.829861111111112,13.7,0.0,9.09024509623524,0.0,45.0,0.0,2.8,12.5
13.829861111111112,13.7,0.0,9.09024509623524,0.0,45.0,0.0,2.8,6.2
13.829861111111112,13.7,0.0,18.0,0.0,31.706881640889986,6.32068726099568,2.1,12.5
13.829861111111112,13.7,0.0,18.0,0.0,31.706881640889986,6.32068726099568,2.1,6.2
13.829861111111112,13.7,0.0,18.0,0.0,31.706881640889986,6.32068726099568,2.8,12.5
13.829861111111112,13.7,0.0,18.0,0.0,31.706881640889986,6.32068726099568,2.8,6.2
13.829861111111112,13.7,0.0,18.0,0.0,31.706881640889986,0.0,2.1,12.5
13.829861111111112,13.7,0.0,18.0,0.0,31.706881640889986,0.0,2.1,6.2
13.829861111111112,13.7,0.0,18.0,0.0,31.706881640889986,0.0,2.8,12.5
13.829861111111112,13.7,0.0,18.0,0.0,31.706881640889986,0.0,2.8,6.2
13.829861111111112,13.7,0.0,18.0,0.0,45.0,6.32068726099568,2.1,12.5
13.829861111111112,13.7,0.0,18.0,0.0,45.0,6.32068726099568,2.1,6.2
13.829861111111112,13.7,0.0,18.0,0.0,45.0,6.32068726099568,2.8,12.5
13.829861111111112,13.7,0.0,18.0,0.0,45.0,6.32068726099568,2.8,6.2
13.829861111111112,13.7,0.0,18.0,0.0,45.0,0.0,2.1,12.5
13.829861111111112,13.7,0.0,18.0,0.0,45.0,0.0,2.1,6.2
13.829861111111112,13.7,0.0,18.0,0.0,45.0,0.0,2.8,12.5
13.829861111111112,13.7,0.0,18.0,0.0,45.0,0.0,2.8,6.2
13.829861111111112,8.4,0.0,9.09024509623524,0.0,31.706881640889986,6.32068726099568,2.1,12.5
13.829861111111112,8.4,0.0,9.09024509623524,0.0,31.706881640889986,6.32068726099568,2.1,6.2
13.829861111111112,8.4,0.0,9.09024509623524,0.0,31.706881640889986,6.32068726099568,2.8,12.5
13.829861111111112,8.4,0.0,9.09024509623524,0.0,31.706881640889986,6.32068726099568,2.8,6.2
13.829861111111112,8.4,0.0,9.09024509623524,0.0,31.706881640889986,0.0,2.1,12.5
13.829861111111112,8.4,0.0,9.09024509623524,0.0,31.706881640889986,0.0,2.1,6.2
13.829861111111112,8.4,0.0,9.09024509623524,0.0,31.706881640889986,0.0,2.8,12.5
13.829861111111112,8.4,0.0,9.09024509623524,0.0,31.706881640889986,0.0,2.8,6.2
13.829861111111112,8.4,0.0,9.09024509623524,0.0,45.0,6.32068726099568,2.1,12.5
13.829861111111112,8.4,0.0,9.09024509623524,0.0,45.0,6.32068726099568,2.1,6.2
13.829861111111112,8.4,0.0,9.09024509623524,0.0,45.0,6.32068726099568,2.8,12.5
13.829861111111112,8.4,0.0,9.09024509623524,0.0,45.0,6.32068726099568,2.8,6.2
13.829861111111112,8.4,0.0,9.09024509623524,0.0,45.0,0.0,2.1,12.5
13.829861111111112,8.4,0.0,9.09024509623524,0.0,45.0,0.0,2.1,6.2
13.829861111111112,8.4,0.0,9.09024509623524,0.0,45.0,0.0,2.8,12.5
13.829861111111112,8.4,0.0,9.09024509623524,0.0,45.0,0.0,2.8,6.2
13.829861111111112,8.4,0.0,18.0,0.0,31.706881640889986,6.32068726099568,2.1,12.5
13.829861111111112,8.4,0.0,18.0,0.0,31.706881640889986,6.32068726099568,2.1,6.2
13.829861111111112,8.4,0.0,18.0,0.0,31.706881640889986,6.32068726099568,2.8,12.5
13.829861111111112,8.4,0.0,18.0,0.0,31.706881640889986,6.32068726099568,2.8,6.2
13.829861111111112,8.4,0.0,18.0,0.0,31.706881640889986,0.0,2.1,12.5
13.829861111111112,8.4,0.0,18.0,0.0,31.706881640889986,0.0,2.1,6.2
13.829861111111112,8.4,0.0,18.0,0.0,31.706881640889986,0.0,2.8,12.5
13.829861111111112,8.4,0.0,18.0,0.0,31.706881640889986,0.0,2.8,6.2
13.829861111111112,8.4,0.0,18.0,0.0,45.0,6.32068726099568,2.1,12.5
13.829861111111112,8.4,0.0,18.0,0.0,45.0,6.32068726099568,2.1,6.2
13.829861111111112,8.4,0.0,18.0,0.0,45.0,6.32068726099568,2.8,12.5
13.829861111111112,8.4,0.0,18.0,0.0,45.0,6.32068726099568,2.8,6.2
13.829861111111112,8.4,0.0,18.0,0.0,45.0,0.0,2.1,12.5
13.829861111111112,8.4,0.0,18.0,0.0,45.0,0.0,2.1,6.2
13.829861111111112,8.4,0.0,18.0,0.0,45.0,0.0,2.8,12.5
13.829861111111112,8.4,0.0,18.0,0.0,45.0,0.0,2.8,6.2
13.850694444444445,7.0,,,,,,,
13.996527777777777,6.5,,,,,,,10.7
14.73611111111111,5.0,,,,,,2.5,2.5
16.77777777777778,12.5,,,,,,2.1,12.0
17.98611111111111,18.1,,,,,,2.4,11.8
18.850694444444446,17.0,,,,,,2.6,10.3
20.725694444444446,23.2,0.0,,0.0,,15.015900803348623,2.3,12.2
20.725694444444446,23.2,0.0,,0.0,,0.0,2.3,12.2
21.725694444444446,27.4,,,,,,2.2,12.1
23.725694444444446,37.8,,,,,,2.2,12.3
24.725694444444446,40.0,,,,,,2.2,12.0
26.163194444444446,40.0,0.0,4.071210582079497,0.0,40.552988691117775,15.309574942951741,2.7,11.6
26.163194444444446,40.0,0.0,4.071210582079497,0.0,40.552988691117775,0.0,2.7,11.6
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,36.252013149277055,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,36.252013149277055,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,36.252013149277055,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,36.252013149277055,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,36.252013149277055,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,36.252013149277055,0.0,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,36.252013149277055,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,36.252013149277055,0.0,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,47.86342975613616,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,47.86342975613616,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,47.86342975613616,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,47.86342975613616,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,47.86342975613616,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,47.86342975613616,0.0,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,47.86342975613616,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,47.86342975613616,0.0,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,44.0,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,44.0,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,44.0,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,44.0,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,44.0,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,44.0,0.0,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,44.0,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,0.3918941041381824,0.0,44.0,0.0,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,36.252013149277055,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,36.252013149277055,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,36.252013149277055,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,36.252013149277055,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,36.252013149277055,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,36.252013149277055,0.0,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,36.252013149277055,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,36.252013149277055,0.0,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,47.86342975613616,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,47.86342975613616,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,47.86342975613616,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,47.86342975613616,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,47.86342975613616,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,47.86342975613616,0.0,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,47.86342975613616,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,47.86342975613616,0.0,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,44.0,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,44.0,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,44.0,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,44.0,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,44.0,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,44.0,0.0,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,44.0,0.0,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,13.680453152526212,0.0,44.0,0.0,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,36.252013149277055,15.547919825729696,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,36.252013149277055,15.547919825729696,3.0,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,36.252013149277055,15.547919825729696,4.9,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,36.252013149277055,15.547919825729696,4.9,1.9
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,36.252013149277055,0.0,3.0,2.1
32.10069444444445,40.0,0.28919999999999996,17.6,0.0,36.252013149277055,0.0,3.0,1.9
