         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	      charge	       I_naq	  Ithree_naq	          Cl	        Gold	  Auitwo_naq	     Itwo_aq	
           1	      transp	           0	           0	           0	           0	     7.00026	           4	-1.21431e-17	  1.0000e-01	  4.0000e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           1	        0.05	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           2	      0.1005	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           3	      0.1015	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           4	      0.1025	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           5	      0.1035	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           6	      0.1045	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           7	      0.1055	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           8	      0.1065	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           9	      0.1075	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          10	      0.1085	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          11	      0.1095	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          12	      0.1105	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          13	      0.1115	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          14	      0.1125	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          15	      0.1135	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          16	      0.1145	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          17	      0.1155	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          18	      0.1165	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          19	      0.1175	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	      0.1185	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          21	      0.1195	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          22	      0.1205	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          23	      0.1215	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          24	      0.1225	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          25	      0.1235	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          26	      0.1245	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          27	      0.1255	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          28	      0.1265	           0	           0	     6.97484	           4	-6.47905e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          29	       0.177	           0	           0	     6.97484	           4	-6.47907e-09	  0.0000e+00	  0.0000e+00	  1.0000e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           0	           0	       86400	           1	     7.00026	           4	-1.21431e-17	  1.0000e-01	  4.0000e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           1	        0.05	       86400	           1	     6.97572	    -2.21876	-4.31883e-09	  5.1360e-03	  2.0544e-03	  9.4864e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           2	      0.1005	       86400	           1	     6.97515	    -2.60126	-4.43456e-09	  1.8378e-03	  7.3514e-04	  9.8162e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           3	      0.1015	       86400	           1	     6.97515	     -2.6798	-4.73014e-09	  1.8372e-03	  7.3488e-04	  9.8163e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           4	      0.1025	       86400	           1	     6.97515	    -2.53663	-4.89992e-09	  1.8366e-03	  7.3463e-04	  9.8163e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           5	      0.1035	       86400	           1	     6.97515	    -2.62387	-4.71234e-09	  1.8360e-03	  7.3439e-04	  9.8164e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           6	      0.1045	       86400	           1	     6.97515	    -2.62386	-4.57875e-09	  1.8354e-03	  7.3415e-04	  9.8165e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           7	      0.1055	       86400	           1	     6.97515	    -2.68953	 -3.9675e-09	  1.8348e-03	  7.3392e-04	  9.8165e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           8	      0.1065	       86400	           1	     6.97515	    -2.52344	-4.87866e-09	  1.8343e-03	  7.3370e-04	  9.8166e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           9	      0.1075	       86400	           1	     6.97515	    -2.64196	-4.67069e-09	  1.8337e-03	  7.3349e-04	  9.8166e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          10	      0.1085	       86400	           1	     6.97515	    -2.63666	-4.70021e-09	  1.8332e-03	  7.3328e-04	  9.8167e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          11	      0.1095	       86400	           1	     6.97515	    -2.70006	-3.84714e-09	  1.8327e-03	  7.3308e-04	  9.8167e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          12	      0.1105	       86400	           1	     6.97515	    -2.61828	-4.20246e-09	  1.8322e-03	  7.3289e-04	  9.8168e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          13	      0.1115	       86400	           1	     6.97515	    -2.65983	-4.51289e-09	  1.8317e-03	  7.3270e-04	  9.8168e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          14	      0.1125	       86400	           1	     6.97515	    -2.66469	-4.93339e-09	  1.8313e-03	  7.3252e-04	  9.8169e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          15	      0.1135	       86400	           1	     6.97515	    -2.66098	-3.85716e-09	  1.8309e-03	  7.3235e-04	  9.8169e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          16	      0.1145	       86400	           1	     6.97515	    -2.63919	-3.32199e-09	  1.8305e-03	  7.3218e-04	  9.8170e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          17	      0.1155	       86400	           1	     6.97515	    -2.61509	-4.64195e-09	  1.8301e-03	  7.3202e-04	  9.8170e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          18	      0.1165	       86400	           1	     6.97515	    -2.64193	-4.33311e-09	  1.8297e-03	  7.3187e-04	  9.8170e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          19	      0.1175	       86400	           1	     6.97515	    -2.70421	-4.51165e-09	  1.8293e-03	  7.3173e-04	  9.8171e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	      0.1185	       86400	           1	     6.97515	    -2.68752	 -4.8267e-09	  1.8290e-03	  7.3159e-04	  9.8171e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          21	      0.1195	       86400	           1	     6.97515	    -2.66707	-4.45509e-09	  1.8286e-03	  7.3146e-04	  9.8171e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          22	      0.1205	       86400	           1	     6.97515	     -2.6623	-4.69101e-09	  1.8283e-03	  7.3133e-04	  9.8172e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          23	      0.1215	       86400	           1	     6.97515	    -2.68759	-4.51757e-09	  1.8280e-03	  7.3122e-04	  9.8172e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          24	      0.1225	       86400	           1	     6.97515	    -2.68086	-3.99203e-09	  1.8278e-03	  7.3111e-04	  9.8172e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          25	      0.1235	       86400	           1	     6.97515	    -2.67991	-5.59178e-09	  1.8275e-03	  7.3100e-04	  9.8172e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          26	      0.1245	       86400	           1	     6.97515	     -2.6089	-4.12972e-09	  1.8273e-03	  7.3091e-04	  9.8173e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          27	      0.1255	       86400	           1	     6.97515	    -2.62531	-4.71482e-09	  1.8271e-03	  7.3082e-04	  9.8173e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          28	      0.1265	       86400	           1	     6.97515	    -2.76125	-5.01999e-09	  1.8268e-03	  7.3074e-04	  9.8173e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          29	       0.177	       86400	           1	     6.97499	     11.3974	-6.19178e-09	  8.9206e-04	  3.5682e-04	  9.9108e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           0	           0	      172800	           2	     7.00026	           4	-1.21431e-17	  1.0000e-01	  4.0000e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           1	        0.05	      172800	           2	     6.97657	    -1.74713	 7.70828e-10	  9.8824e-03	  3.9530e-03	  9.0118e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           2	      0.1005	      172800	           2	     6.97546	    -2.69803	-2.50859e-09	  3.6101e-03	  1.4440e-03	  9.6390e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           3	      0.1015	      172800	           2	     6.97546	    -2.66554	-2.13336e-09	  3.6089e-03	  1.4435e-03	  9.6391e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           4	      0.1025	      172800	           2	     6.97546	    -2.74696	-2.29269e-09	  3.6077e-03	  1.4431e-03	  9.6392e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           5	      0.1035	      172800	           2	     6.97546	    -2.63998	-1.40502e-09	  3.6065e-03	  1.4426e-03	  9.6393e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           6	      0.1045	      172800	           2	     6.97546	    -2.69888	-1.41322e-09	  3.6054e-03	  1.4422e-03	  9.6395e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           7	      0.1055	      172800	           2	     6.97546	    -2.62183	-1.89264e-09	  3.6043e-03	  1.4417e-03	  9.6396e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           8	      0.1065	      172800	           2	     6.97546	    -2.62352	-2.54413e-09	  3.6033e-03	  1.4413e-03	  9.6397e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           9	      0.1075	      172800	           2	     6.97546	    -2.67488	-2.11277e-09	  3.6022e-03	  1.4409e-03	  9.6398e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          10	      0.1085	      172800	           2	     6.97546	    -2.74166	-2.33732e-09	  3.6012e-03	  1.4405e-03	  9.6399e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          11	      0.1095	      172800	           2	     6.97546	    -2.64005	-7.56402e-10	  3.6003e-03	  1.4401e-03	  9.6400e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          12	      0.1105	      172800	           2	     6.97546	    -2.67277	-1.22375e-09	  3.5994e-03	  1.4397e-03	  9.6401e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          13	      0.1115	      172800	           2	     6.97545	    -2.71279	-1.56338e-09	  3.5985e-03	  1.4394e-03	  9.6402e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          14	      0.1125	      172800	           2	     6.97545	    -2.69957	-1.79942e-09	  3.5976e-03	  1.4390e-03	  9.6402e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          15	      0.1135	      172800	           2	     6.97545	    -2.67924	-1.59347e-09	  3.5968e-03	  1.4387e-03	  9.6403e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          16	      0.1145	      172800	           2	     6.97545	    -2.56955	-9.69372e-10	  3.5960e-03	  1.4384e-03	  9.6404e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          17	      0.1155	      172800	           2	     6.97545	    -2.62645	-1.61167e-09	  3.5952e-03	  1.4381e-03	  9.6405e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          18	      0.1165	      172800	           2	     6.97545	     -2.6482	 -2.1285e-09	  3.5945e-03	  1.4378e-03	  9.6405e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          19	      0.1175	      172800	           2	     6.97545	    -2.69565	-1.92094e-09	  3.5938e-03	  1.4375e-03	  9.6406e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          20	      0.1185	      172800	           2	     6.97545	    -2.65302	-2.20704e-09	  3.5931e-03	  1.4373e-03	  9.6407e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          21	      0.1195	      172800	           2	     6.97545	    -2.63737	-1.54925e-09	  3.5925e-03	  1.4370e-03	  9.6407e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          22	      0.1205	      172800	           2	     6.97545	    -2.59922	-2.77197e-09	  3.5919e-03	  1.4368e-03	  9.6408e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          23	      0.1215	      172800	           2	     6.97545	    -2.66571	  -1.728e-09	  3.5914e-03	  1.4365e-03	  9.6409e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          24	      0.1225	      172800	           2	     6.97545	     -2.6735	-7.95921e-10	  3.5908e-03	  1.4363e-03	  9.6409e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          25	      0.1235	      172800	           2	     6.97545	    -2.65834	-3.47225e-09	  3.5903e-03	  1.4361e-03	  9.6410e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          26	      0.1245	      172800	           2	     6.97545	    -2.61453	-1.01063e-09	  3.5899e-03	  1.4359e-03	  9.6410e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          27	      0.1255	      172800	           2	     6.97545	    -2.64667	-2.36742e-09	  3.5894e-03	  1.4358e-03	  9.6411e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          28	      0.1265	      172800	           2	     6.97545	    -2.74162	 -2.3936e-09	  3.5890e-03	  1.4356e-03	  9.6411e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          29	       0.177	      172800	           2	     6.97514	     11.1248	-5.64089e-07	  1.7544e-03	  7.0175e-04	  9.8246e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           0	           0	      259200	           3	     7.00026	           4	-1.21431e-17	  1.0000e-01	  4.0000e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           1	        0.05	      259200	           3	     6.97736	    -1.65875	 4.62139e-09	  1.4271e-02	  5.7083e-03	  8.5729e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           2	      0.1005	      259200	           3	     6.97576	    -2.71671	 1.06365e-07	  5.3189e-03	  2.1276e-03	  9.4681e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           3	      0.1015	      259200	           3	     6.97576	    -2.73824	 1.05815e-07	  5.3172e-03	  2.1269e-03	  9.4683e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           4	      0.1025	      259200	           3	     6.97576	    -2.68623	 1.06135e-07	  5.3155e-03	  2.1262e-03	  9.4685e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           5	      0.1035	      259200	           3	     6.97576	    -2.78667	 1.06642e-07	  5.3139e-03	  2.1255e-03	  9.4686e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           6	      0.1045	      259200	           3	     6.97575	    -2.75953	 1.07854e-07	  5.3123e-03	  2.1249e-03	  9.4688e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           7	      0.1055	      259200	           3	     6.97575	    -2.61232	 1.06948e-07	  5.3107e-03	  2.1243e-03	  9.4689e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           8	      0.1065	      259200	           3	     6.97575	    -2.70077	 1.06207e-07	  5.3092e-03	  2.1237e-03	  9.4691e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	           9	      0.1075	      259200	           3	     6.97575	    -2.68892	 1.07344e-07	  5.3077e-03	  2.1231e-03	  9.4692e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	      transp	          10	      0.1085	      259200	           3	     6.97575	    -2.69231	 1.06783e-07	  5.3063e-03	  2.1225e-03	  9.4694e-02	  0.0000e+00	  0.0000e+00	  0.0000e+00	
