,time,dist,jdif_Mg2,jdif_H,jdif_Cl,jact_Mg2,jact_H,jact_Cl,jmig_Mg2,jmig_H,jmig_Cl,jtot_Mg2,jtot_H,jtot_Cl
1442,43200,0.0005,,,,,,,,,,,,
1443,43200,0.0015,-6.299999999999306e-11,2.1711500000000106e-09,1.8099999999957816e-10,-3.458694476449832e-12,,-0.0,-3.369870093164325e-10,-2.3045135685607093e-10,1.0163790232995647e-09,-4.0344570379287536e-10,,1.197379023299143e-09
1444,43200,0.0025,-0.0,2.1971000000000366e-09,3.6199999999996013e-10,-0.0,,-0.0,-3.408479238941297e-10,-2.324973878859424e-10,1.027925925522279e-09,-3.408479238941297e-10,,1.3899259255222392e-09
1445,43200,0.0035,-6.299999999999306e-11,2.231699999999951e-09,3.6199999999996013e-10,-0.0,,-0.0,-3.4741728153938876e-10,-2.3633953122757264e-10,1.0475331853974165e-09,-4.104172815393818e-10,,1.4095331853973765e-09
1446,43200,0.0045,-0.0,2.2922500000000114e-09,1.8100000000038197e-10,-3.4589965899092182e-12,,-0.0,-3.5654671326278167e-10,-2.419015452107321e-10,1.0750090556699208e-09,-3.6000570985269087e-10,,1.2560090556703028e-09
1447,43200,0.0055,-6.299999999999306e-11,2.3700999999999693e-09,3.6199999999996013e-10,-0.0,,-0.0,-3.6825722752186237e-10,-2.4912915038633924e-10,1.1101001689865785e-09,-4.3125722752185543e-10,,1.4721001689865386e-09
1448,43200,0.0065,-0.0,2.4652500000000645e-09,3.6199999999996013e-10,-0.0,,-0.0,-3.8257640165799216e-10,-2.580678891707808e-10,1.1531550003937922e-09,-3.8257640165799216e-10,,1.5151550003937523e-09
1449,43200,0.0075,-6.299999999999306e-11,2.5690500000000483e-09,3.6199999999996013e-10,-3.459644521788532e-12,,-0.0,-3.995798252187088e-10,-2.6869626002654986e-10,1.2041712714339443e-09,-4.660394697404904e-10,,1.5661712714339044e-09
1450,43200,0.0085,-0.0,2.6901500000000495e-09,3.6199999999996013e-10,-0.0,,-0.0,-4.190897792222695e-10,-2.809212547820797e-10,1.2628459902334762e-09,-4.190897792222695e-10,,1.6248459902334363e-09
1451,43200,0.0095,-6.299999999999306e-11,2.8371999999999562e-09,3.6199999999996013e-10,-3.4599466156835036e-12,,-6.100214850992773e-12,-4.4133831435225243e-10,-2.9481187942282603e-10,1.3296279914484423e-09,-5.07798260967929e-10,,1.6855277765974096e-09
1452,43200,0.0105,-0.0,2.992899999999992e-09,3.6199999999996013e-10,-0.0,,-0.0,-4.661897933829441e-10,-3.1030575298718564e-10,1.404364625583341e-09,-4.661897933829441e-10,,1.766364625583301e-09
1453,43200,0.0115,-6.299999999999306e-11,3.1658999999999247e-09,5.430000000003421e-10,-3.4602487018249543e-12,,-0.0,-4.936855449181586e-10,-3.273349638444757e-10,1.4868324246674664e-09,-5.601457936199767e-10,,2.0298324246678086e-09
1454,43200,0.0125,-6.299999999999306e-11,3.356199999999995e-09,3.6199999999996013e-10,-0.0,,-0.0,-5.236824101856549e-10,-3.4579555924812194e-10,1.5768660070695174e-09,-5.866824101856479e-10,,1.9388660070694775e-09
1455,43200,0.0135,-0.0,3.5724500000000914e-09,5.429999999995383e-10,-3.460550780414409e-12,,-0.0,-5.565248640459444e-10,-3.659051384283689e-10,1.6755186220661742e-09,-5.599854148263588e-10,,2.2185186220657123e-09
1456,43200,0.0145,-6.299999999999306e-11,3.7886999999999474e-09,5.430000000003421e-10,-0.0,,-0.0,-5.920219250555977e-10,-3.8742619695099603e-10,1.7819559099413129e-09,-6.550219250555907e-10,,2.324955909941655e-09
1457,43200,0.0155,-6.299999999999306e-11,4.03089999999995e-09,5.430000000003421e-10,-3.461198659967947e-12,,-0.0,-6.30022194657968e-10,-4.102391248521084e-10,1.8958740620158084e-09,-6.96483393317929e-10,,2.4388740620161508e-09
1458,43200,0.0165,-6.299999999999306e-11,4.299050000000098e-09,5.429999999995383e-10,-0.0,,-6.094626378596575e-12,-6.705264210174994e-10,-4.34284331843266e-10,2.0172698540571856e-09,-7.335264210174925e-10,,2.554175227678127e-09
1459,43200,0.0175,-6.300000000013295e-11,4.558549999999997e-09,5.430000000003421e-10,-3.4618465230977025e-12,,-0.0,-7.135353522986361e-10,-4.595153900257762e-10,2.1461400618329674e-09,-7.799971988218667e-10,,2.6891400618333093e-09
1460,43200,0.0185,-6.299999999999306e-11,4.852649999999931e-09,7.239999999999203e-10,-3.4621485700034823e-12,,-0.0,-7.590497366658194e-10,-4.85857909983079e-10,2.2823725537024685e-09,-8.25511885235816e-10,,3.0063725537023887e-09
1461,43200,0.0195,-6.299999999999306e-11,5.155399999999994e-09,7.239999999999203e-10,-0.0,,-0.0,-8.070703222834892e-10,-5.132457613215248e-10,2.4260592561161565e-09,-8.700703222834823e-10,,3.1500592561160766e-09
1462,43200,0.0205,-6.299999999999306e-11,5.4754499999999534e-09,7.239999999999203e-10,-3.4627964047893177e-12,,-6.090200887183395e-12,-8.56598908152069e-10,-5.409711882369712e-10,2.574193894709995e-09,-9.230617045568514e-10,,3.2921036938227316e-09
1463,43200,0.0215,-6.299999999999306e-11,5.812800000000051e-09,7.239999999999203e-10,-3.4630984320843156e-12,,-0.0,-9.091345165491463e-10,-5.699040144495636e-10,2.73127599338378e-09,-9.755976149812237e-10,,3.4552759933837e-09
1464,43200,0.0225,-6.299999999999306e-11,6.1501500000000284e-09,9.050000000003022e-10,-3.463400451724645e-12,,-0.0,-9.631793222602378e-10,-5.990286574965037e-10,2.892661009425726e-09,-1.0296427227119556e-09,,3.797661009426028e-09
1465,43200,0.0235,-1.2599999999998612e-10,6.513450000000031e-09,9.049999999994984e-10,-3.464048246083102e-12,,-6.08606620224923e-12,-1.018835474670603e-09,-6.282589934373889e-10,3.058468597685644e-09,-1.1482995229166721e-09,,3.957382531482893e-09
1466,43200,0.0245,-6.299999999999306e-11,6.885399999999923e-09,1.0859999999998804e-09,-3.4643502460714034e-12,,-0.0,-1.0744065358450043e-09,-6.566003681460804e-10,3.2240426082148026e-09,-1.1408708860910687e-09,,4.310042608214683e-09
1467,43200,0.0255,-6.299999999999306e-11,7.266000000000064e-09,1.0860000000006843e-09,-6.929260692318364e-12,,-0.0,-1.131487991396531e-09,-6.849035671307122e-10,3.3940185558740616e-09,-1.2014172520888425e-09,,4.4800185558747454e-09
1468,43200,0.0265,-6.299999999999306e-11,7.663899999999981e-09,1.0859999999998804e-09,-3.4649104353454525e-12,,-6.080768767657495e-12,-1.18758117159675e-09,-7.115774444288586e-10,3.5608990970536063e-09,-1.2540460820320884e-09,,4.640818328285829e-09
1469,43200,0.0275,-6.299999999999306e-11,8.05314999999989e-09,1.4479999999998405e-09,-6.930381028260644e-12,,-0.0,-1.2426857771798836e-09,-7.365957916817463e-10,3.7243305692752206e-09,-1.3126161582081374e-09,,5.172330569275061e-09
1470,43200,0.0285,-6.299999999999306e-11,8.459700000000177e-09,1.4479999999998405e-09,-6.930897372009298e-12,,-6.076052858084617e-12,-1.2938019679960802e-09,-7.581514305826376e-10,3.875655550082888e-09,-1.3637328653680826e-09,,5.317579497224644e-09
1471,43200,0.0295,-0.0,8.866249999999984e-09,1.6290000000002224e-09,-6.9307222077989406e-12,,-6.073371971632427e-12,-1.3407947751798638e-09,-7.762754865537009e-10,4.014695631946084e-09,-1.3477254973876628e-09,,5.637622259974673e-09
1472,43200,0.0305,-0.0,9.281450000000038e-09,2.171999999999761e-09,-1.039575489815514e-11,,-6.0698190415817404e-12,-1.3797888066727918e-09,-7.887112124017703e-10,4.129081082781309e-09,-1.390184561570947e-09,,6.295011263739488e-09
1473,43200,0.0315,6.299999999999306e-11,9.687999999999845e-09,2.3530000000001427e-09,-1.3859010679991839e-11,,-6.06597548989723e-12,-1.4091436869952075e-09,-7.94760378276984e-10,4.214721927863263e-09,-1.3600026976752063e-09,,6.5616559523735085e-09
1474,43200,0.0325,1.2599999999998612e-10,1.009455000000001e-08,2.895999999999681e-09,-1.731932143161034e-11,,-1.2122455478531737e-11,-1.423855692353677e-09,-7.918337565277942e-10,4.256309224779995e-09,-1.3151750137853012e-09,,7.1401867693011434e-09
1475,43200,0.0335,2.5199999999997225e-10,1.048380000000004e-08,3.439000000000023e-09,-2.077344546453959e-11,,-1.2111151816468715e-11,-1.420789415201301e-09,-7.786413268106871e-10,4.244967736259053e-09,-1.1895628606658683e-09,,7.671856584442607e-09
1476,43200,0.0345,3.7800000000009827e-10,1.0873049999999949e-08,4.344000000000325e-09,-2.767888723769647e-11,,-1.2096941833859256e-11,-1.3919788993274733e-09,-7.513094806873082e-10,4.156587654911991e-09,-1.0416577865650715e-09,,8.488490713078456e-09
1477,43200,0.0355,5.039999999999445e-10,1.1236350000000072e-08,5.430000000000206e-09,-3.802349036021254e-11,,-1.8118770308092342e-11,-1.3324979307749958e-09,-7.078998610914869e-10,3.976412815072983e-09,-8.665214211352639e-10,,9.388294044765096e-09
1478,43200,0.0365,7.433999999999741e-10,1.1582349999999939e-08,6.6969999999996645e-09,-4.487703513362083e-11,,-3.0142895207825274e-11,-1.2352546986926964e-09,-6.456477395589642e-10,3.684003660659608e-09,-5.367317338263431e-10,,1.0350860765451448e-08
1479,43200,0.0375,1.033200000000054e-09,1.1893750000000008e-08,8.50700000000027e-09,-5.857791830314836e-11,,-3.007299273238475e-11,-1.0899556773618077e-09,-5.603234006349011e-10,3.248633041191628e-09,-1.1533359566490209e-10,,1.1725560048459512e-08
1480,43200,0.0385,1.3922999999998886e-09,1.2170550000000045e-08,1.0497999999999647e-08,-7.562012541497659e-11,,-4.1981512386034594e-11,-8.884972981918535e-10,-4.4914840217892624e-10,2.646624844373852e-09,4.2818257639305855e-10,,1.3102643331987465e-08
1481,43200,0.0395,1.8396000000000911e-09,1.2421399999999938e-08,1.3213000000000553e-08,-9.593112495258503e-11,,-5.3780718814338105e-11,-6.201232059764729e-10,-3.082428010957962e-10,1.846083672824271e-09,1.1235456690710332e-09,,1.5005302954010487e-08
1482,43200,0.0405,2.3876999999999747e-09,1.2620350000000015e-08,1.6289999999999814e-08,-1.1940841549305072e-10,,-6.543734413872089e-11,-2.751053925481676e-10,-1.3448247130733828e-10,8.1852042330124e-10,1.9931861919587563e-09,,1.7043083079162332e-08
1483,43200,0.0415,3.049199999999972e-09,1.2767400000000044e-08,2.0090999999999796e-08,-1.4930401040337273e-10,,-8.282135148228637e-11,1.569940286349486e-10,7.550527492802669e-11,-4.668573991203962e-10,3.056890018231548e-09,,1.954132124939711e-08
1484,43200,0.0425,3.836700000000095e-09,1.2862550000000018e-08,2.4797000000000083e-08,-1.8198981050120646e-10,,-1.0575017641930979e-10,6.860092901279617e-10,3.248232415758396e-10,-2.038902519456378e-09,4.340719479626851e-09,,2.26523473041244e-08
1485,43200,0.0435,4.769099999999908e-09,1.2888499999999924e-08,3.0045999999999904e-08,-2.238828862878239e-10,,-1.223372564683922e-10,1.3188198687254262e-09,6.154226399195003e-10,-3.917860466643495e-09,5.86403698243751e-09,,2.6005802276888017e-08
1486,43200,0.0445,5.833800000000029e-09,1.2862550000000018e-08,3.6381000000000007e-08,-2.711357152766797e-10,,-1.499100331885541e-10,2.0609290376192502e-09,9.49095770382437e-10,-6.119540082427327e-09,7.623593322342599e-09,,3.0111549884384126e-08
1487,43200,0.0455,7.0623000000000326e-09,1.2758750000000035e-08,4.3259000000000057e-08,-3.198969989318327e-10,,-1.7653429161642e-10,2.9149040083763444e-09,1.3271289346933578e-09,-8.652044794474231e-09,9.657307009444543e-09,,3.44304209139094e-08
1488,43200,0.0465,8.429399999999968e-09,1.2603049999999998e-08,5.1042e-08,-3.792395792843844e-10,,-2.0759874318016458e-10,3.879083940725676e-09,1.7499061739934877e-09,-1.1510638635169248e-08,1.192924436144126e-08,,3.932376262165059e-08
1489,43200,0.0475,9.94140000000001e-09,1.2369499999999946e-08,5.972999999999985e-08,-4.4164567477372587e-10,,-2.480682586851999e-10,4.9461429381251764e-09,2.2167680607744346e-09,-1.4673870714175409e-08,1.444589726335146e-08,,4.480806102713924e-08
1490,43200,0.0485,1.1579399999999971e-08,1.2066750000000062e-08,6.896100000000004e-08,-5.060605760923892e-10,,-2.7536831464289914e-10,6.1061028760463615e-09,2.7275739005949066e-09,-1.8113788082287627e-08,1.7179442299953944e-08,,5.0571843603069516e-08
1491,43200,0.0495,1.331820000000003e-08,1.170344999999994e-08,7.891600000000014e-08,-5.712838626845883e-10,,-3.214616223813401e-10,7.339706873093766e-09,3.2799094821004302e-09,-2.17739493319057e-08,2.0086623010409206e-08,,5.682058904571309e-08
