        time	        dist	           H	         Mg2	          Cl	      gammaH	    gammaMg2	     gammaCl	   potential	     current	
         -99	  0.0000e+00	  1.0005e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
         -99	  0.0000e+00	  1.0005e-04	  1.0000e-96	  1.0000e-96	  9.9966e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  5.0000e-04	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  2.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  3.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  4.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  5.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  6.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  7.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  8.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  9.5000e-03	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.0500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.1500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.2500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.3500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.4500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.5500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.6500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.7500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.8500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  1.9500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  2.0500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  2.1500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
           0	  2.2500e-02	  1.0000e-01	  1.0000e+00	  2.1000e+00	  9.4583e-01	  7.9114e-01	  9.4111e-01	  0.0000e+00	  0.0000e+00	
