        time	        dist	         A_i	         B_i	         C_i	         D_i	        gA_i	        gB_i	        gC_i	        gD_i	   potential	
         -99	  0.0000e+00	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
         -99	  0.0000e+00	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
         -99	  0.0000e+00	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0000e+02	
           0	  5.0000e-02	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  1.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  2.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  3.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  4.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  5.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  6.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  7.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  8.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           0	  9.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
          24	  5.0000e-02	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.0000e+00	
          24	  1.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.5000e+01	
          24	  2.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5000e+01	
          24	  3.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.5000e+01	
          24	  4.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.5000e+01	
          24	  5.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.5000e+01	
          24	  6.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.5000e+01	
          24	  7.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.5000e+01	
          24	  8.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.5000e+01	
          24	  9.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.5000e+01	
          48	  5.0000e-02	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.9968e+00	
          48	  1.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.4994e+01	
          48	  2.5000e-01	  1.0000e-96	  1.0000e-96	  1.0000e-96	  1.0000e-96	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.4995e+01	
