        dist	         A_i	         B_i	         C_i	         D_i	           H	          OH	          pH	        gA_i	        gB_i	        gC_i	        gD_i	   potential	     current	        time	
  0.0000e+00	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  1.0000e+02	  0.0000e+00	  0.0000e+00	
  0.0000e+00	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  1.0000e+02	  0.0000e+00	  1.0000e+00	
  2.5000e-02	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.5000e-02	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.2500e-01	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.7500e-01	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.2500e-01	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.7500e-01	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.2500e-01	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.7500e-01	  1.0000e-96	  1.0000e-96	  1.0000e+01	  1.0000e+01	  1.0949e-04	  1.1242e-04	  6.9606e+00	  0.0000e+00	  0.0000e+00	  9.0191e-01	  9.0191e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
