        dist	           K	        MnO4	          Na	        HCO3	          gK	       gMn_7	         gNa	       gHCO3	   potential	     current	        time	
  5.0000e-03	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  2.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  3.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  4.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  5.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  6.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  7.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  8.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  9.5000e-02	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0500e-01	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.1500e-01	  1.0000e-96	  1.0000e-96	  9.9538e+00	  9.9403e+00	  0.0000e+00	  0.0000e+00	  9.0207e-01	  9.0522e-01	  0.0000e+00	  0.0000e+00	  0.0000e+00	
